ID,Name,Email,Phone,Balance,Status,Tier
266eeed9-e52d-410e-80da-b26819cbd640,Thomas Evans,thomas.evans132@example.com,+971 510515037,22341.99,active,Gold
b34248bb-e804-44aa-901b-476b8efb09d8,Kevin Rodriguez,kevin.rodriguez132@example.com,+254 788240849,31650.78,suspended,Bronze
cb50671a-85fe-443b-b3e7-025bc39cffd6,Liam Powell,liam.powell903@hotmail.com,+234 317378351,11270.56,active,Bronze
689b348c-6b46-46e6-b3fc-d7a19044eef4,Diane Collins,diane.collins705@outlook.com,+27 660128000,14274.16,suspended,Silver
ce5e2916-4af1-47e1-bffc-c4fefd03f1d3,John Ortiz,john.ortiz892@example.com,+233 109449968,42036.15,active,Gold
1a1bdc50-f626-49df-9df6-fe7dc49d6ad3,Mason Davis,mason.davis393@hotmail.com,+233 868664996,11069.36,active,Bronze
8fd93cd7-bbec-4e3a-8960-5f119211f254,Paul Cox,paul.cox178@icloud.com,+233 883092787,41077.21,active,Gold
285a35f7-25aa-4430-96f4-04fd9d0e19f3,Lisa Davis,lisa.davis652@protonmail.com,+233 182340389,36735.02,frozen,Silver
caeece9b-b237-46f5-af34-dbd951e64ef9,Carter Cole,carter.cole726@protonmail.com,+27 843898650,16182.17,active,Bronze
99ca5a56-21b7-4ec9-87d6-012318472dbb,Betty Thompson,betty.thompson830@protonmail.com,+91 935853566,45676.51,active,Gold
29e8b66a-7ba8-4ebe-ba9e-cfccdd3556dc,Edward Scott,edward.scott834@outlook.com,+234 502729100,39482.45,active,Platinum
b65bbf78-75e3-4da1-9a30-cce6de7b8759,Marie Harris,marie.harris611@protonmail.com,+233 827646480,31888.62,active,Gold
b51f1fe1-548e-4d1a-a241-b7cadd415712,Eric Nguyen,eric.nguyen386@example.com,+27 517082026,577.91,active,Bronze
2e594c38-dbc7-480b-aaae-8446a530975c,Gregory Chavez,gregory.chavez13@outlook.com,+27 480242781,34460.03,frozen,Gold
b3084a80-f667-436f-94e3-80d0a907418b,Jessica Robinson,jessica.robinson801@protonmail.com,+971 134720041,26123.66,frozen,Gold
683bb08e-4f7b-43af-b3a0-b27fb7f81581,Jennifer Moore,jennifer.moore333@gmail.com,+254 139540751,21273.54,active,Bronze
993e4238-89e0-4b4b-8518-a26b1694ae08,James Murphy,james.murphy875@hotmail.com,+234 122704565,6320.57,active,Silver
31b44da0-af43-4d73-a1c1-5e94f928731b,Jason Myers,jason.myers561@example.com,+27 916142508,18311.32,active,Bronze
f1fd4234-a9c4-4468-b22d-0d2d3b3125eb,Pamela Chavez,pamela.chavez456@protonmail.com,+971 169672646,27461.98,frozen,Bronze
3ed483e0-3d2f-4ab4-a3a5-1d2cb22bcf9e,Susan Hamilton,susan.hamilton136@icloud.com,+61 863872122,18284.55,suspended,Bronze
2e14a977-4882-47b8-9afb-daf9ced45140,Elijah Hall,elijah.hall462@protonmail.com,+233 237318190,8173.12,suspended,Silver
